Batch ID,Item,Expiry Date,Supplier,Item Name,Batch Quantity
ART25046,ACTON OR,2028-06-01,M V GANAPATHY IYER & SONS,ACTON OR,200
VGT2409564,ACTOPAN 40,2026-04-01,M V GANAPATHY IYER & SONS,ACTOPAN 40,10
MC-102410D,ACTOPAN DSR,2026-09-01,M V GANAPATHY IYER & SONS,ACTOPAN DSR,13
E25104,ALASPAN,2028-07-01,M V GANAPATHY IYER & SONS,ALASPAN,42
E25108,ALASPAN,2028-08-01,M V GANAPATHY IYER & SONS,ALASPAN,100
AT25060341A,ALBENA 400,2027-05-01,M V GANAPATHY IYER & SONS,ALBENA 400,43
AT25050243B,ALECET 5,2027-04-01,M V GANAPATHY IYER & SONS,ALECET 5,51
AT25100803A,ALECET MT,2027-09-01,M V GANAPATHY IYER & SONS,ALECET MT,20
ETV01AAA,AMOCARE CV 625,2027-05-01,M V GANAPATHY IYER & SONS,AMOCARE CV 625,200
MT-092512A,ANGIFLAM P,2027-08-01,M V GANAPATHY IYER & SONS,ANGIFLAM P,42
AFTTL2504,APEXFER,2027-02-01,M V GANAPATHY IYER & SONS,APEXFER,20
AQT2501,AQUATEL 20,2027-02-01,M V GANAPATHY IYER & SONS,AQUATEL 20,1470
8NY2M043,ARKAMIN 100,2027-06-01,M V GANAPATHY IYER & SONS,ARKAMIN 100,120
8NY2M048,ARKAMIN 100,2027-07-01,M V GANAPATHY IYER & SONS,ARKAMIN 100,720
8NY2L037,ARKAMIN 100,2026-06-01,M V GANAPATHY IYER & SONS,ARKAMIN 100,1084
8NY2M015,ARKAMIN 100,2027-01-01,M V GANAPATHY IYER & SONS,ARKAMIN 100,80
DI0224001,ARKMAIN 150,2027-02-01,M V GANAPATHY IYER & SONS,ARKMAIN 150,591
DI0224002,ARKMAIN 150,2027-02-01,M V GANAPATHY IYER & SONS,ARKMAIN 150,10
5SN198,ASSURANS,2028-07-01,M V GANAPATHY IYER & SONS,ASSURANS,150
5SN0592,ASSURANS,2028-01-01,M V GANAPATHY IYER & SONS,ASSURANS,210
4SN225,ASSURANS,2027-10-01,M V GANAPATHY IYER & SONS,ASSURANS,16
E2502163,ATARAX 10,2025-08-01,M V GANAPATHY IYER & SONS,ATARAX 10,30
UGT252972A,ATORVIR 10,2027-09-01,M V GANAPATHY IYER & SONS,ATORVIR 10,900
UGT251774,ATORVIR 10,2027-06-01,M V GANAPATHY IYER & SONS,ATORVIR 10,13
8250085,AUGMENTIN DUO 625,2026-08-01,M V GANAPATHY IYER & SONS,AUGMENTIN DUO 625,28
825D270,AUGMENTIN DUO 625,2027-04-01,M V GANAPATHY IYER & SONS,AUGMENTIN DUO 625,90
GHYF0002,AZULIX 0.5MF,2027-06-01,M V GANAPATHY IYER & SONS,AZULIX 0.5MF,750
GHYF0003,AZULIX 0.5MF,2027-06-01,M V GANAPATHY IYER & SONS,AZULIX 0.5MF,220
GHYF00D1,AZULIX 0.5MF,2027-01-01,M V GANAPATHY IYER & SONS,AZULIX 0.5MF,192
2KA9M011,AZULIX 2MF,2028-01-01,M V GANAPATHY IYER & SONS,AZULIX 2MF,5
2991M002,AZULIX 3,2027-04-01,M V GANAPATHY IYER & SONS,AZULIX 3,122
8L7K,BANOCIDE FORTE,2026-12-01,M V GANAPATHY IYER & SONS,BANOCIDE FORTE,170
DH9X,BANOCIDE FORTE,2027-12-01,M V GANAPATHY IYER & SONS,BANOCIDE FORTE,510
MFT-25953,BIOCYST C,2027-08-01,M V GANAPATHY IYER & SONS,BIOCYST C,100
AT25050188A,BIOCYST T,2027-04-01,M V GANAPATHY IYER & SONS,BIOCYST T,75
AC2503499A,BIOFYLINE 100,2027-02-01,M V GANAPATHY IYER & SONS,BIOFYLINE 100,100
AC2410377,BIOFYLINE 100,2026-09-01,M V GANAPATHY IYER & SONS,BIOFYLINE 100,54
AT25022191B,BIOFYLINE FM,2027-01-01,M V GANAPATHY IYER & SONS,BIOFYLINE FM,123
T24K084B,BIOSORE,2026-04-01,M V GANAPATHY IYER & SONS,BIOSORE,120
AT24040031,BIOSUPRIDE 25,2026-03-01,M V GANAPATHY IYER & SONS,BIOSUPRIDE 25,90
AT24121891,BIOSUPRIDE 25,2026-11-01,M V GANAPATHY IYER & SONS,BIOSUPRIDE 25,424
AT24111708B,BIOTEL 20MD,2026-10-01,M V GANAPATHY IYER & SONS,BIOTEL 20MD,200
AT24091415,BIOTEL 3D,2026-08-01,M V GANAPATHY IYER & SONS,BIOTEL 3D,150
AT24091391,BIOTEL 40,2026-08-01,M V GANAPATHY IYER & SONS,BIOTEL 40,74
AT24081301,BIOTOP DM,2026-07-01,M V GANAPATHY IYER & SONS,BIOTOP DM,60
MFC25068,BIOWIN IBS,2027-01-01,M V GANAPATHY IYER & SONS,BIOWIN IBS,27
MT-102460A,BISVER 16,2026-09-01,M V GANAPATHY IYER & SONS,BISVER 16,100
HPFK25008,BONOFLEX,2027-03-01,M V GANAPATHY IYER & SONS,BONOFLEX,60
HPFH25040,BONOFLEX,2027-01-01,M V GANAPATHY IYER & SONS,BONOFLEX,60
AST251186,BOULAZ,2027-04-01,M V GANAPATHY IYER & SONS,BOULAZ,1500
AST25394,BOULAZ,2026-11-01,M V GANAPATHY IYER & SONS,BOULAZ,2147
241044,BUDACURE RESPULES,2026-08-01,M V GANAPATHY IYER & SONS,BUDACURE RESPULES,10
CCX2501,CALCILOT XT,2027-07-01,M V GANAPATHY IYER & SONS,CALCILOT XT,525
AF2501200B,CALNI D3,2027-06-01,M V GANAPATHY IYER & SONS,CALNI D3,1
10251249,CANDID V6,2029-04-01,M V GANAPATHY IYER & SONS,CANDID V6,3
PB24001,CANVESTEN V6,2027-01-01,M V GANAPATHY IYER & SONS,CANVESTEN V6,3
T25B239A,CARNIQUIN,2027-01-01,M V GANAPATHY IYER & SONS,CARNIQUIN,110
T251070,CARNIQUIN E,2027-01-01,M V GANAPATHY IYER & SONS,CARNIQUIN E,465
AM-8727,CARNIQUIN MAX,2027-02-01,M V GANAPATHY IYER & SONS,CARNIQUIN MAX,390
