"Item Code","Item Group","Default Unit of Measure","Series","Item Name","HSN/SAC","Disabled","Allow Alternative Item","Maintain Stock","Has Variants","Opening Stock","Default Purchase Unit of Measure","MRP per purchase UOM","MRP","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Rate for Native","Rate for Foreign","Auto Create Assets on Purchase","Create Grouped Asset","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Shelf Life In Days","End of Life","Default Material Request Type","Weight Per Unit","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Delivered by Supplier (Drop Ship)","Country of Origin","Grant Commission","Allow Sales","Max Discount (%)","Is Ineligible for Input Tax Credit","Inspection Required before Purchase","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","ID (Taxes)","Item Tax Template (Taxes)","Maximum Net Rate (Taxes)","Minimum Net Rate (Taxes)","ID (UOMs)","Conversion Factor (UOMs)","UOM (UOMs)","ID (Item Defaults)","Company (Item Defaults)","Default Warehouse (Item Defaults)"
"ALBENA 400","Medications","Nos","STO-ITEM-.YYYY.-","ALBENA 400","30049099","0","0","1","0","0","Nos","7.88","7.88","7.5048","0","0","0","0","0","0","0","0","ALBENA 400","0","2027-05-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","ohgi1jnyt7","GST 5% - DRDSC","0","0","rpwh6nnyfx","1","Nos","4m8t1qojah","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ARKAMIN 100","Medications","Nos","STO-ITEM-.YYYY.-","ARKAMIN 100","30049099","0","0","1","0","0","Strip 30","96.4","3.213","3.06","0","0","0","0","0","0","0","0","ARKAMIN 100","0","2027-06-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","9tq6v9mh7f","GST 5% - DRDSC","0","0","2v97xbar3c","1","Nos","pdlalsh2bh","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ARKMAIN 150","Medications","Nos","STO-ITEM-.YYYY.-","ARKMAIN 150","30049099","0","0","1","0","0","Strip 30","177.0","5.9","5.619","0","0","0","0","0","0","0","0","ARKMAIN 150","0","2027-02-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","jo1mz7e5v0","GST 5% - DRDSC","0","0","vodfggfhu1","1","Nos","24e3gckvbh","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ASSURANS","Medications","Nos","STO-ITEM-.YYYY.-","ASSURANS","30049099","0","0","1","0","0","Strip 15","404.34","26.956","25.6724","0","0","0","0","0","0","0","0","ASSURANS","0","2028-01-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","o3oond57zo","GST 5% - DRDSC","0","0","plxxl5zh3y","1","Nos","ik1cp8js65","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ATARAX 10","Medications","Nos","STO-ITEM-.YYYY.-","ATARAX 10","30049099","0","0","1","0","0","Strip 15","59.53","3.969","3.78","0","0","0","0","0","0","0","0","ATARAX 10","0","2025-08-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","2t7j5oxvky","GST 5% - DRDSC","0","0","v9ypn5myy8","1","Nos","gxgxx05i4m","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"AZULIX 2MF","Medications","Nos","STO-ITEM-.YYYY.-","AZULIX 2MF","30049099","0","0","1","0","0","Strip 15","261.0","17.4","16.5714","0","0","0","0","0","0","0","0","AZULIX 2MF","0","2028-01-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","oetaly0g2p","GST 5% - DRDSC","0","0","h00qtww11h","1","Nos","adlu8pnu8v","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"AZULIX 3","Medications","Nos","STO-ITEM-.YYYY.-","AZULIX 3","30049099","0","0","1","0","0","Strip 30","179.1","5.97","5.6857","0","0","0","0","0","0","0","0","AZULIX 3","0","2027-04-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","k192ogqeeq","GST 5% - DRDSC","0","0","4zp8gjju6n","1","Nos","37r66rgciq","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"BANOCIDE FORTE","Medications","Nos","STO-ITEM-.YYYY.-","BANOCIDE FORTE","30049099","0","0","1","0","0","Strip 30","52.61","1.754","1.6705","0","0","0","0","0","0","0","0","BANOCIDE FORTE","0","2027-12-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","alrm0utwuo","GST 5% - DRDSC","0","0","fvbbmi1fpz","1","Nos","p2egjnuhuz","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"BUDACURE RESPULES","Medications","Nos","STO-ITEM-.YYYY.-","BUDACURE RESPULES","30049099","0","0","1","0","0","Strip 5","229.0","45.8","43.619","0","0","0","0","0","0","0","0","BUDACURE RESPULES","0","2026-08-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","x3cy03fd1x","GST 5% - DRDSC","0","0","f5zw1vmbmw","1","Nos","gger80anyd","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CALCILOT XT","Medications","Nos","STO-ITEM-.YYYY.-","CALCILOT XT","30049099","0","0","1","0","0","Strip 15","250.0","16.667","15.8733","0","0","0","0","0","0","0","0","CALCILOT XT","0","2027-07-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","2ip25c3541","GST 5% - DRDSC","0","0","nlbokf753k","1","Nos","epcmvlml3b","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
