Item Code (Items),Qty (Items),Basic Rate,Batch No (Items),Target Warehouse (Items),Stock Entry Type,Purpose
ACTON OR,200,63.619,ART25046,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ACTOPAN 40,10,72.381,VGT2409564,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ACTOPAN DSR,13,90.4762,MC-102410D,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ALASPAN,42,162.8571,E25104,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ALASPAN,100,152.6762,E25108,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ALBENA 400,43,7.5048,AT25060341A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ALECET 5,51,36.1905,AT25050243B,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ALECET MT,20,116.1905,AT25100803A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AMOCARE CV 625,200,198.4762,ETV01AAA,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ANGIFLAM P,42,52.381,MT-092512A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
APEXFER,20,168.6381,AFTTL2504,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AQUATEL 20,1470,36.5714,AQT2501,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ARKAMIN 100,120,91.8095,8NY2M043,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ARKAMIN 100,720,86.0476,8NY2M048,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ARKAMIN 100,1084,83.5238,8NY2L037,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ARKAMIN 100,80,91.8095,8NY2M015,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ARKMAIN 150,591,168.5714,DI0224001,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ARKMAIN 150,10,168.5714,DI0224002,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ASSURANS,150,361.0095,5SN198,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ASSURANS,210,385.0857,5SN0592,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ASSURANS,16,385.0857,4SN225,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ATARAX 10,30,56.6952,E2502163,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ATORVIR 10,900,50.5905,UGT252972A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
ATORVIR 10,13,53.9714,UGT251774,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AUGMENTIN DUO 625,28,195.1048,8250085,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AUGMENTIN DUO 625,90,186.0857,825D270,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AZULIX 0.5MF,750,66.381,GHYF0002,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AZULIX 0.5MF,220,66.381,GHYF0003,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AZULIX 0.5MF,192,60.381,GHYF00D1,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AZULIX 2MF,5,248.5714,2KA9M011,Goods In Transit - DRDSC,Material Receipt,Material Receipt
AZULIX 3,122,170.5714,2991M002,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BANOCIDE FORTE,170,50.1048,8L7K,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BANOCIDE FORTE,510,50.1048,DH9X,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOCYST C,100,342.8571,MFT-25953,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOCYST T,75,171.4286,AT25050188A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOFYLINE 100,100,114.2857,AC2503499A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOFYLINE 100,54,94.2857,AC2410377,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOFYLINE FM,123,209.5238,AT25022191B,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOSORE,120,57.1429,T24K084B,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOSUPRIDE 25,90,80.8571,AT24040031,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOSUPRIDE 25,424,80.8571,AT24121891,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOTEL 20MD,200,51.4286,AT24111708B,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOTEL 3D,150,152.381,AT24091415,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOTEL 40,74,72.1048,AT24091391,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOTOP DM,60,66.6667,AT24081301,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BIOWIN IBS,27,171.4286,MFC25068,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BISVER 16,100,75.2381,MT-102460A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BONOFLEX,60,186.4762,HPFK25008,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BONOFLEX,60,209.5238,HPFH25040,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BOULAZ,1500,85.7143,AST251186,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BOULAZ,2147,85.7143,AST25394,Goods In Transit - DRDSC,Material Receipt,Material Receipt
BUDACURE RESPULES,10,218.0952,241044,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CALCILOT XT,525,238.0952,CCX2501,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CALNI D3,1,379.0476,AF2501200B,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CANDID V6,3,88.5714,10251249,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CANVESTEN V6,3,63.619,PB24001,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CARNIQUIN,110,385.6667,T25B239A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CARNIQUIN E,465,228.5714,T251070,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CARNIQUIN MAX,390,664.7619,AM-8727,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CAVEDA 5,600,171.3333,PGT24-1866A,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CEFLA CV,420,57.1429,TJT6926,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CETANIL 10,127,169.5238,2408000289,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILABS T5,3375,120.4762,ST25-3215,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILABS T5,188,123.8095,ST24-17015,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILACAR 10,30,209,AC925030,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILACAR 10,225,209,KC925039,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILACAR T,178,278.3905,K4T25057,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILATAB 10,823,84.7619,T-2410027,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILATAB T,80,114.0476,T2410051,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILATAB T,8,114.0476,T2505163,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILATAB T,6,114.0476,T2508304,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILINOVAS 10,1070,51.7905,MT-102599,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILINOVAS 10,100,55.2381,MT-042514,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILOVIN 10,2500,73.4667,25S062A01,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILOVIN 10,92,78.3619,185TCF012,Goods In Transit - DRDSC,Material Receipt,Material Receipt
CILOVIN 20,1015,114.0952,185TCL005,Goods In Transit - DRDSC,Material Receipt,Material Receipt
