Item Code,Item Group,Default Unit of Measure,Series,Item Name,HSN/SAC,Disabled,Allow Alternative Item,Maintain Stock,Has Variants,Opening Stock,Default Purchase Unit of Measure,MRP per purchase UOM,MRP,Valuation Rate,Standard Selling Rate,Is Fixed Asset,Rate for Native,Rate for Foreign,Auto Create Assets on Purchase,Create Grouped Asset,Over Delivery/Receipt Allowance (%),Over Billing Allowance (%),Description,Shelf Life In Days,End of Life,Default Material Request Type,Weight Per Unit,Allow Negative Stock,Has Batch No,Automatically Create New Batch,Has Expiry Date,Retain Sample,Max Sample Quantity,Has Serial No,Variant Based On,Enable Deferred Expense,No of Months (Expense),Enable Deferred Revenue,No of Months (Revenue),Minimum Order Qty,Safety Stock,Allow Purchase,Lead Time in days,Last Purchase Rate,Is Customer Provided Item,Delivered by Supplier (Drop Ship),Country of Origin,Grant Commission,Allow Sales,Max Discount (%),Is Ineligible for Input Tax Credit,Inspection Required before Purchase,Inspection Required before Delivery,Include Item In Manufacturing,Supply Raw Materials for Purchase,ID (Taxes),Item Tax Template (Taxes),Maximum Net Rate (Taxes),Minimum Net Rate (Taxes),ID (UOMs),Conversion Factor (UOMs),UOM (UOMs),ID (Item Defaults),Company (Item Defaults),Default Warehouse (Item Defaults)
ACTON OR,Medications,Nos,STO-ITEM-.YYYY.-,ACTON OR,30049099,0,0,1,0,0,Strip-10,66.8,6.68,6.3619,0,0,0,0,0,0,0,0,ACTON OR,0,2028-06-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,xaji0y6dpb,GST 5% - DRDSC,0,0,hsahxthv3a,1,Nos,3zmf8mdd4v,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
ACTOPAN 40,Medications,Nos,STO-ITEM-.YYYY.-,ACTOPAN 40,30049099,0,0,1,0,0,Strip-10,76.0,7.6,7.2381,0,0,0,0,0,0,0,0,ACTOPAN 40,0,2026-04-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,30t9nt3w5u,GST 5% - DRDSC,0,0,zbikcidkwn,1,Nos,nhj7xvg0fn,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
ACTOPAN DSR,Medications,Nos,STO-ITEM-.YYYY.-,ACTOPAN DSR,30049099,0,0,1,0,0,Strip-10,95.0,9.5,9.0476,0,0,0,0,0,0,0,0,ACTOPAN DSR,0,2026-09-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,9xuy41iblj,GST 5% - DRDSC,0,0,h75lxo6qji,1,Nos,ujv6oh9sdb,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
ALASPAN,Medications,Nos,STO-ITEM-.YYYY.-,ALASPAN,30049099,0,0,1,0,0,Strip-10,171.0,17.1,16.2857,0,0,0,0,0,0,0,0,ALASPAN,0,2028-08-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,dw2pcn9t84,GST 5% - DRDSC,0,0,azytjxepq8,1,Nos,5jsg65kxvf,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
ALECET 5,Medications,Nos,STO-ITEM-.YYYY.-,ALECET 5,30049099,0,0,1,0,0,Strip-10,38.0,3.8,3.619,0,0,0,0,0,0,0,0,ALECET 5,0,2027-04-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,1t2tala753,GST 5% - DRDSC,0,0,lc58drc11e,1,Nos,rtj5pht0hl,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
ALECET MT,Medications,Nos,STO-ITEM-.YYYY.-,ALECET MT,30049099,0,0,1,0,0,Strip-10,122.0,12.2,11.619,0,0,0,0,0,0,0,0,ALECET MT,0,2027-09-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,9xpseimvih,GST 5% - DRDSC,0,0,cwi64ciyhe,1,Nos,7ur23gdppq,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
AMOCARE CV 625,Medications,Nos,STO-ITEM-.YYYY.-,AMOCARE CV 625,30049099,0,0,1,0,0,Strip-10,208.4,20.84,19.8476,0,0,0,0,0,0,0,0,AMOCARE CV 625,0,2027-05-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,0y9dom5igq,GST 5% - DRDSC,0,0,pki7p5tb94,1,Nos,874frhocn9,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
ANGIFLAM P,Medications,Nos,STO-ITEM-.YYYY.-,ANGIFLAM P,30049099,0,0,1,0,0,Strip-10,55.0,5.5,5.2381,0,0,0,0,0,0,0,0,ANGIFLAM P,0,2027-08-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,j2qp89uzfk,GST 5% - DRDSC,0,0,8ut0cvs4f8,1,Nos,cgvyie6ivw,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
APEXFER,Medications,Nos,STO-ITEM-.YYYY.-,APEXFER,30049099,0,0,1,0,0,Strip-10,177.07,17.707,16.8638,0,0,0,0,0,0,0,0,APEXFER,0,2027-02-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,pvs7hzioyk,GST 5% - DRDSC,0,0,l1cq99chj7,1,Nos,55nf4zw9xa,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
AQUATEL 20,Medications,Nos,STO-ITEM-.YYYY.-,AQUATEL 20,30049099,0,0,1,0,0,Strip-10,38.4,3.84,3.6571,0,0,0,0,0,0,0,0,AQUATEL 20,0,2027-02-01,Purchase,0,0,1,0,1,0,0,0,Item Attribute,0,0,0,0,0,0,1,0,0,0,0,India,1,1,0,0,0,0,1,0,3kx7eedtjv,GST 5% - DRDSC,0,0,zhwjr64dpj,1,Nos,a1wj0tpac5,Dr Rasheed's Diabetes Speciality Centre,Goods In Transit - DRDSC
